LD,Reflux Ratio (L/D),,(-)
Lo,Liquid Flow Rate (Lo),,(m^3/s)
V1,Vapour Flow Rate (V1),,(m^3/s)
mL,Mass Liquid Flow (WL),,(kg/s)
mV,Mass Vapour Flow (Wv),,(kg/s)
Qc,Condensor Duty (Qc),,(kW)
Hf,Feed Enthalpy (Hf),,(kJ/(kmolK))
Tf,Feed Temperature (Tf),,(K)
Hb,Bottoms Enthalpy (Hb),,(kJ/(kmolK))
TbpA,Boiling Point A,,(K)
TbpB,Boiling Point B,,(K)
Hd,Distillate Enthalpy (D),,(kJ/(kmolK))
Qr,Reboiler Duty (Qr),,(kW)
lp,Pitch (lp),,(m)
mult1,Multiplier 1 (mult1),,(-)
do,Hole Diameter,,(m)
tw,Plate Thickness (tw),,(m)
mult2,Multiplier 2 (mult2),,(-)
Flv,Constant (Flv),,(-)
uflood,Flooding Velocity (uflood),,(m/s)
Csbf,Constant (Csbf),,(-)
uop,Operating Velocity (uop),,(m/s)
MWv,Vapour Molecular Mass,,(kmol/kg)
Dc,Column Diameter (Dc),,(m)
thta,Angle Subtended,,(deg)
x,Constant (x),,(-)
lw,Weir Height (lw),,(m)
Ad,Downcomer Area (Ad),,(m^2)
lup,Length up (lup),,(m)
Aup,Area up (up),,(m^2)
lcz,Length cz (lcz),,(m)
Acz,Area cz (Acz),,(m^2)
Ac,Column Area (Ac),,(m^2)
Aa,Area a (Aa),,(m^2)
Ap,Area p (Ap),,(m^2)
Ah,Total Holes Area (Ah),,(m^2)
Ahole,Single Hole Area (Ahole),,(m^2)
Nhole,Number of Holes (Nhole),,(-)
Vo,Flow through holes (Vo),,(m^3/s)
uh,Velocity through holes (uh),,(m/s)
hd,Headloss D (hd),,(m)
Co,Constant (Co),,(-)
hw,Headloss Weir (hw),,(m)
hap,Aperture Headloss (hap),,(m)
how,Headloss OW (how),,(m)
ht,Total headloss (ht),,(m)
Aap,Aperture Area (Aap),,(m^2)
hdc,Downcomer Headloss (hdc),,(m)
hb,Headloss b (hb),,(m)
